Age Group,Father,Mother
Total ,1673923,1673923
Under 15 ,65,2411
15-19 ,52669,178505
20-24 ,304479,440503
25-29 ,420018,452406
30-34 ,350688,332658
35-39 ,230813,195179
40-44 ,116660,63286
45-49 ,46731,5611
50 and over ,25815,169
Not Stated ,125985,3195
