Age Group,Father,Mother
Total ,1748857,1748857
Under 20,171971,209872
20-24 ,339142,506451
25-29 ,422732,436091
30-34 ,367405,331745
35-39 ,237948,191321
40-44 ,123388,63071
45-49 ,50133,6532
50 and over ,27880,392
Not Stated ,8258,3382
